FEATURE_ID,FEATURE_NAME,FEATURE_CLASS,COUNTY_NAME,LAT,LONG,ELEVATION
281316,Davie,Populated Place,Broward,26.0628665,-80.2331038,1
281348,Day,Populated Place,Lafayette,30.1941083,-83.2912516,26
281353,Daytona Beach,Populated Place,Volusia,29.2108147,-81.0228331,4
281361,De Leon Springs,Populated Place,Volusia,29.1194268,-81.3514536,15
281363,De Soto City,Populated Place,Highlands,27.4425383,-81.405073,30
281364,DeBary,Populated Place,Volusia,28.8830452,-81.3086755,22
281381,Dead Lakes,Lake,Gulf,30.1876986,-85.1885271,3
281394,Deadman Bay,Bay,Dixie,29.659393,-83.4251389,0
281451,Deer Park,Populated Place,Osceola,28.0914059,-80.8978379,13
281460,Deerfield Beach,Populated Place,Broward,26.3184123,-80.0997657,4
281470,Dekle Beach,Populated Place,Taylor,29.8491073,-83.6193132,1
281473,De Land,Populated Place,Volusia,29.028318,-81.3031179,12
281484,Dellwood,Populated Place,Jackson,30.8238012,-85.0496489,32
281485,Delray Beach,Populated Place,Palm Beach,26.4614625,-80.0728201,5
281516,Destin,Populated Place,Okaloosa,30.3935337,-86.4957834,7
281579,Dinsmore,Populated Place,Duval,30.4060715,-81.7445451,6
281631,Doctors Inlet,Populated Place,Clay,30.1002403,-81.7762083,3
281654,Dog Island,Island,Franklin,29.8057665,-84.5943458,2
281733,Dover,Populated Place,Hillsborough,27.9941885,-82.2195344,31
281765,Drifton,Populated Place,Jefferson,30.4954814,-83.8793301,37
281860,Dunedin,Populated Place,Pinellas,28.0197404,-82.7717684,9
281879,Dunnellon,Populated Place,Marion,29.0491426,-82.4609331,15
281882,Dupont,Populated Place,Flagler,29.4269207,-81.2225622,7
281946,East Bay,Bay,Bay,30.1063134,-85.557147,0
282007,East Palatka,Populated Place,Putnam,29.6583026,-81.5984139,5
282052,Eaton Park,Populated Place,Polk,28.0086334,-81.9075818,43
282086,Edgewater,Populated Place,Volusia,28.9888754,-80.9022758,1
282132,El Portal,Populated Place,Miami-Dade,25.8553739,-80.193103,2
282152,Elfers,Populated Place,Pasco,28.2166778,-82.7223228,12
282174,Elliott Key,Island,Miami-Dade,25.4431664,-80.1972717,0
282217,Englewood,Populated Place,Sarasota,26.9620053,-82.3525952,3
282228,Ensley,Populated Place,Escambia,30.5188067,-87.2727509,40
282231,Enterprise,Populated Place,Volusia,28.8691569,-81.2667299,6
282244,Eridu,Populated Place,Taylor,30.3018747,-83.7471001,16
282253,Espanola,Populated Place,Flagler,29.5071961,-81.3095106,9
282257,Estero,Populated Place,Lee,26.438136,-81.8067524,4
282258,Estero Bay,Bay,Lee,26.4250811,-81.8589763,0
282276,Lake Eustis,Lake,Lake,28.8463786,-81.7286878,19
282293,Everglades City,Populated Place,Collier,25.8601002,-81.380357,0
282330,Fairbanks,Populated Place,Alachua,29.7246894,-82.2639919,51
282362,Fakahatchee Strand,Swamp,Collier,26.1148124,-81.3978561,3
282426,Fern Crest Village,Populated Place,Broward,26.0892543,-80.2192144,1
282433,Ferndale,Populated Place,Lake,28.6219425,-81.7034089,31
282447,Fiesta Key,Island,Monroe,24.8420804,-80.7934,0
282549,Flamingo,Populated Place,Monroe,25.1417914,-80.9253491,1
282583,Florahome,Populated Place,Putnam,29.7327446,-81.8834269,39
282585,Floral City,Populated Place,Citrus,28.7499876,-82.2967581,19
282598,Florida Bay,Bay,Monroe,25.0004073,-80.7497882,0
282605,Florida City,Populated Place,Miami-Dade,25.4478898,-80.4792237,1
282642,Foley,Populated Place,Taylor,30.0693809,-83.5307016,16
282693,Fort Lauderdale,Populated Place,Broward,26.1223084,-80.1433786,1
282697,Fort Meade,Populated Place,Polk,27.7522526,-81.8017491,42
282700,Fort Myers,Populated Place,Lee,26.640628,-81.8723084,3
282703,Fort Myers Shores,Populated Place,Lee,26.7092357,-81.7459159,3
282704,Fort Myers Villas,Populated Place,Lee,26.5614647,-81.8636975,3
282710,Fort Walton Beach,Populated Place,Okaloosa,30.4057552,-86.618842,2
282713,Fort White,Populated Place,Columbia,29.9232908,-82.7137327,21
282731,Fountain,Populated Place,Bay,30.4788051,-85.4196476,54
282806,Freeport,Populated Place,Walton,30.4982516,-86.1360517,10
282840,Frontenac,Populated Place,Brevard,28.4616685,-80.7633872,5
282842,Frostproof,Populated Place,Polk,27.7458626,-81.5306313,34
282844,Fruitland Park,Populated Place,Lake,28.8613765,-81.9064705,33
282874,Gainesville,Populated Place,Alachua,29.6516344,-82.3248262,54
282957,Gaskin,Populated Place,Walton,30.9710146,-86.1354968,62
282961,Gasparilla Island,Island,Lee,26.772291,-82.2662057,1
283060,Gibsonton,Populated Place,Hillsborough,27.8536365,-82.3825931,2
283063,Gifford,Populated Place,Indian River,27.6753089,-80.4092181,4
283114,Glendale,Populated Place,Walton,30.8629626,-86.114385,89
283145,Golden Beach,Populated Place,Miami-Dade,25.9650919,-80.1222671,0
283163,Golfview,Populated Place,Palm Beach,26.6889545,-80.1125431,5
283239,Goulds,Populated Place,Miami-Dade,25.5626072,-80.3822765,3
283260,Graceville,Populated Place,Jackson,30.9568503,-85.5165993,46
283275,Grand Ridge,Populated Place,Jackson,30.7124146,-85.0202017,39
283280,Grant,Populated Place,Brevard,27.9289105,-80.5264419,1
283381,Green Cove Springs,Populated Place,Clay,29.9919085,-81.6781467,5
283408,Greenacres City,Populated Place,Palm Beach,26.623679,-80.1253213,5
283417,Greenland,Populated Place,Duval,30.1719083,-81.5448104,8
283424,Greensboro,Populated Place,Gadsden,30.5693597,-84.7432493,82
283426,Greenville,Populated Place,Madison,30.4693739,-83.6301544,29
283427,Greenwood,Populated Place,Jackson,30.8701891,-85.1618737,35
283474,Groveland,Populated Place,Lake,28.5580546,-81.8511889,31
283485,Gulf Breeze,Populated Place,Santa Rosa,30.3571438,-87.1638574,4
283492,Gulf Hammock,Populated Place,Levy,29.2530218,-82.7309452,3
283500,Gulf Stream,Populated Place,Palm Beach,26.4936835,-80.0550417,2
283507,Gullivan Bay,Bay,Collier,25.8773229,-81.6320301,0
283578,Hacienda Village,Populated Place,Broward,26.0853655,-80.2011583,2
283589,Haines City,Populated Place,Polk,28.1141841,-81.6178536,51
283628,Hallandale Beach,Populated Place,Broward,25.9812025,-80.148379,3
283671,Hampton,Populated Place,Bradford,29.8644091,-82.1309371,46
283676,Hampton Springs,Populated Place,Taylor,30.0854902,-83.6548724,7
283731,Hardaway,Populated Place,Gadsden,30.6304701,-84.7354724,93
283750,Harold,Populated Place,Santa Rosa,30.6590808,-86.8802385,45
283812,Havana,Populated Place,Gadsden,30.6238069,-84.414629,72
283819,Haverhill,Populated Place,Palm Beach,26.6911767,-80.1200433,5
283829,Hawthorne,Populated Place,Alachua,29.5919136,-82.0873181,45
283922,Hernando,Populated Place,Citrus,28.8999815,-82.3745401,17
283999,Highland Beach,Populated Place,Palm Beach,26.3995204,-80.0655977,4
284002,Highland City,Populated Place,Polk,27.9653015,-81.8778596,36
284013,Highland View,Populated Place,Gulf,29.837986,-85.3157519,3
284019,Hiland Park,Populated Place,Bay,30.2010339,-85.6268714,11
284033,Hilliard,Populated Place,Nassau,30.691068,-81.9173334,18
284035,Hillsboro Beach,Populated Place,Broward,26.2939687,-80.0789318,4
284039,Hillsborough Bay,Bay,Hillsborough,27.8336369,-82.4331495,0
284047,Hines,Populated Place,Dixie,29.7393928,-83.2365236,12
284049,Hinson,Populated Place,Gadsden,30.6474175,-84.4165738,79
284064,Hobe Sound,Populated Place,Martin,27.059498,-80.1364323,6
284138,Holder,Populated Place,Citrus,28.9669232,-82.4206532,18
284155,Holley,Populated Place,Santa Rosa,30.4468646,-86.9069058,1
